Column,Frequency,Percentage,Files_Count,Sample_Files
NETMIG2011,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
NETMIG2012,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
NETMIG2013,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
NETMIG2014,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
NETMIG2015,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
NETMIG2016,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
NETMIG2017,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
NETMIG2018,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
RESIDUAL2010,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
RESIDUAL2011,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
RESIDUAL2012,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
RESIDUAL2013,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
RESIDUAL2014,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
RESIDUAL2015,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
RESIDUAL2016,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
RESIDUAL2017,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
RESIDUAL2018,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
ORIGIN,2,4.0,2,"sc-est2022-alldata6.csv; sc-est2022-alldata5.csv"
RACE,2,4.0,2,"sc-est2022-alldata6.csv; sc-est2022-alldata5.csv"
NPOPCHG_2020,2,4.0,2,"NST-EST2022-POPCHG2020_2022.csv; NST-EST2022-ALLDATA.csv"
NPOPCHG_2021,2,4.0,2,"NST-EST2022-POPCHG2020_2022.csv; NST-EST2022-ALLDATA.csv"
NPOPCHG_2022,2,4.0,2,"NST-EST2022-POPCHG2020_2022.csv; NST-EST2022-ALLDATA.csv"
POPESTIMATE2019,1,2.0,1,"nc-est2019-agesex-res.csv"
COUNTY,1,2.0,1,"co-est2018-alldata.csv"
STNAME,1,2.0,1,"co-est2018-alldata.csv"
CTYNAME,1,2.0,1,"co-est2018-alldata.csv"
NPOPCHG_2010,1,2.0,1,"co-est2018-alldata.csv"
NPOPCHG_2011,1,2.0,1,"co-est2018-alldata.csv"
NPOPCHG_2012,1,2.0,1,"co-est2018-alldata.csv"
NPOPCHG_2013,1,2.0,1,"co-est2018-alldata.csv"
NPOPCHG_2014,1,2.0,1,"co-est2018-alldata.csv"
NPOPCHG_2015,1,2.0,1,"co-est2018-alldata.csv"
NPOPCHG_2016,1,2.0,1,"co-est2018-alldata.csv"
NPOPCHG_2017,1,2.0,1,"co-est2018-alldata.csv"
NPOPCHG_2018,1,2.0,1,"co-est2018-alldata.csv"
GQESTIMATESBASE2010,1,2.0,1,"co-est2018-alldata.csv"
GQESTIMATES2010,1,2.0,1,"co-est2018-alldata.csv"
GQESTIMATES2011,1,2.0,1,"co-est2018-alldata.csv"
GQESTIMATES2012,1,2.0,1,"co-est2018-alldata.csv"
GQESTIMATES2013,1,2.0,1,"co-est2018-alldata.csv"
GQESTIMATES2014,1,2.0,1,"co-est2018-alldata.csv"
GQESTIMATES2015,1,2.0,1,"co-est2018-alldata.csv"
GQESTIMATES2016,1,2.0,1,"co-est2018-alldata.csv"
GQESTIMATES2017,1,2.0,1,"co-est2018-alldata.csv"
GQESTIMATES2018,1,2.0,1,"co-est2018-alldata.csv"
RBIRTH2011,1,2.0,1,"co-est2018-alldata.csv"
RBIRTH2012,1,2.0,1,"co-est2018-alldata.csv"
RBIRTH2013,1,2.0,1,"co-est2018-alldata.csv"
RBIRTH2014,1,2.0,1,"co-est2018-alldata.csv"
RBIRTH2015,1,2.0,1,"co-est2018-alldata.csv"
RBIRTH2016,1,2.0,1,"co-est2018-alldata.csv"
RBIRTH2017,1,2.0,1,"co-est2018-alldata.csv"
RBIRTH2018,1,2.0,1,"co-est2018-alldata.csv"
RDEATH2011,1,2.0,1,"co-est2018-alldata.csv"
RDEATH2012,1,2.0,1,"co-est2018-alldata.csv"
RDEATH2013,1,2.0,1,"co-est2018-alldata.csv"
